data,Casos_Publicacao_MM_atual_PA
2020-04-11,24.420827682269643
2020-04-12,18.095044682153265
2020-04-13,33.19661024686652
2020-04-14,31.576278325487856
2020-04-15,24.745210244360976
2020-04-16,36.73137813695927
2020-04-17,52.52671482866579
2020-04-18,56.08987016762112
2020-04-19,57.34918943234745
2020-04-20,77.25670760115352
2020-04-21,92.54825805387846
2020-04-22,101.51699464112167
2020-04-23,121.40098661663171
2020-04-24,157.96241829183455
2020-04-25,171.38241856651675
2020-04-26,186.20221429545822
2020-04-27,221.31140719959393
2020-04-28,242.3538377944239
2020-04-29,262.0662434604884
2020-04-30,285.71225570537985
2020-05-01,313.9480135520724
2020-05-02,332.97619807780757
2020-05-03,349.6171319453164
2020-05-04,382.23588297789473
2020-05-05,408.6385676536041
2020-05-06,433.12491317018373
2020-05-07,478.22255354061144
2020-05-08,497.8469335495824
2020-05-09,523.4770478159221
2020-05-10,549.9384475775913
2020-05-11,596.3976453226377
2020-05-12,644.1635294400508
2020-05-13,706.5856480962558
2020-05-14,775.9089357064528
2020-05-15,841.4244631910412
2020-05-16,923.5777807458392
2020-05-17,995.4665531854537
2020-05-18,1042.163665224935
2020-05-19,1175.4396500625908
2020-05-20,1238.8036530711533
2020-05-21,1355.82504669563
2020-05-22,1457.73420980082
2020-05-23,1531.5453747769407
2020-05-24,1572.113541703339
2020-05-25,1653.7136748574103
2020-05-26,1731.9226095095573
2020-05-27,1842.8037192708323
2020-05-28,1905.1363165607925
2020-05-29,1938.579086705202
2020-05-30,1994.965487601735
2020-05-31,2048.2087586393404
2020-06-01,2114.759487523033
2020-06-02,2163.353493736137
2020-06-03,2230.3969667898
2020-06-04,2255.8137419050613
2020-06-05,2303.8993484372977
2020-06-06,2295.322515752981
2020-06-07,2266.9875089363077
2020-06-08,2263.289637962769
2020-06-09,2267.7237677118765
2020-06-10,2324.396837435959
2020-06-11,2306.9475515492304
2020-06-12,2334.5369037390383
2020-06-13,2362.002704591258
2020-06-14,2371.3877854473903
2020-06-15,2346.3936231993493
2020-06-16,2358.336637372469
2020-06-17,2379.176202058307
2020-06-18,2328.5595118733436
2020-06-19,2293.376827092807
2020-06-20,2273.196483347964
2020-06-21,2242.9576944602045
2020-06-22,2239.680945865737
2020-06-23,2260.637983482198
2020-06-24,2246.675730212312
2020-06-25,2251.8559601467286
2020-06-26,2270.386824316615
2020-06-27,2276.3253094034717
2020-06-28,2266.640548141802
2020-06-29,2238.577074570309
2020-06-30,2233.696290311568
2020-07-01,2197.0642109240694
2020-07-02,2122.127670132783
2020-07-03,2109.4089486326043
2020-07-04,2083.6288574653126
2020-07-05,2028.3576087184276
2020-07-06,2000.1368851065183
2020-07-07,2004.6348210056674
2020-07-08,1982.9007310559296
2020-07-09,1941.5749774779429
2020-07-10,1928.4858710868702
2020-07-11,1911.7209946919995
2020-07-12,1880.7651602261178
2020-07-13,1872.5574704710507
2020-07-14,1886.044435617481
2020-07-15,1872.03528374928
2020-07-16,1870.3688490315767
2020-07-17,1881.3487498019094
2020-07-18,1876.65856985716
2020-07-19,1862.2124664687765
2020-07-20,1856.9059541911317
2020-07-21,1879.5373090527928
2020-07-22,1880.1348725111354
2020-07-23,1859.0031106874717
2020-07-24,1838.3069404851417
2020-07-25,1804.9613526596283
2020-07-26,1744.153368459824
2020-07-27,1715.499763985877
2020-07-28,1727.8359844324768
2020-07-29,1704.9287131389005
2020-07-30,1678.2334368929316
2020-07-31,1680.6827304424887
2020-08-01,1675.0460801228446
2020-08-02,1631.301328952863
2020-08-03,1596.9315798121308
2020-08-04,1612.9044408086102
2020-08-05,1601.2855609167327
2020-08-06,1595.020565702012
2020-08-07,1585.337214563121
2020-08-08,1567.3969713348044
2020-08-09,1522.9385958071705
2020-08-10,1507.4014506055134
2020-08-11,1525.0559194474679
2020-08-12,1535.5547726487744
2020-08-13,1555.571370224661
2020-08-14,1591.073052795754
2020-08-15,1600.742466081103
2020-08-16,1579.0298278026942
2020-08-17,1576.4200463794784
2020-08-18,1573.325062540443
2020-08-19,1557.1192714203385
2020-08-20,1541.4408166398302
2020-08-21,1527.1836605351384
2020-08-22,1514.149097665088
2020-08-23,1472.828579325177
2020-08-24,1476.842654052005
2020-08-25,1487.2333430772783
2020-08-26,1478.8186050866655
2020-08-27,1476.6645177452947
2020-08-28,1481.3036269244988
2020-08-29,1483.6736928304924
2020-08-30,1425.2851624894909
2020-08-31,1422.5891032380193
