data,Casos_Publicacao_MM_atual_PA
2020-04-11,94.52738103205041
2020-04-12,106.33907329238674
2020-04-13,115.16911167860765
2020-04-14,129.61464788197628
2020-04-15,133.89748955389115
2020-04-16,140.91232842851792
2020-04-17,163.72905093216428
2020-04-18,179.49680606098445
2020-04-19,188.49183872228224
2020-04-20,203.29957487131838
2020-04-21,225.83669014839722
2020-04-22,262.1498430883845
2020-04-23,294.9836040453609
2020-04-24,305.8864505455657
2020-04-25,318.6530268437651
2020-04-26,319.08979638304555
2020-04-27,365.498693178084
2020-04-28,391.8777973347258
2020-04-29,390.59795766674205
2020-04-30,378.5492813478093
2020-05-01,367.8055469853525
2020-05-02,372.718301947173
2020-05-03,382.89163040225714
2020-05-04,381.41499188813043
2020-05-05,393.0060600364465
2020-05-06,402.1309488800461
2020-05-07,425.292343047125
2020-05-08,471.5200840487312
2020-05-09,502.40200877019737
2020-05-10,531.5886022503606
2020-05-11,569.8212729139378
2020-05-12,628.3780765848609
2020-05-13,694.2684713694214
2020-05-14,755.6436846236513
2020-05-15,799.9601365266342
2020-05-16,851.5536415370519
2020-05-17,943.7527320026059
2020-05-18,1056.0479488168971
2020-05-19,1127.6997680921359
2020-05-20,1201.290036980862
2020-05-21,1271.6319851277742
2020-05-22,1366.9670314017922
2020-05-23,1453.3062835051733
2020-05-24,1483.8923665660768
2020-05-25,1543.6975849266046
2020-05-26,1585.6822615235005
2020-05-27,1689.7324973408965
2020-05-28,1765.2486078482893
2020-05-29,1803.366799181187
2020-05-30,1835.3425246502275
2020-05-31,1867.9422623695364
2020-06-01,1906.8906908240551
2020-06-02,1948.2284877009545
2020-06-03,1938.3351804703539
2020-06-04,1946.520781877087
2020-06-05,1962.1102886767155
2020-06-06,1987.909325661795
2020-06-07,2006.7601481744146
2020-06-08,2020.550866715663
2020-06-09,2030.2409480898696
2020-06-10,2046.3362567726533
2020-06-11,2047.7274185444371
2020-06-12,2064.925427775176
2020-06-13,2068.9301049356936
2020-06-14,2074.4453530543947
2020-06-15,2060.913354380047
2020-06-16,2029.3361445090138
2020-06-17,2046.6394883143903
2020-06-18,2066.3038596710912
2020-06-19,2065.6295799021905
2020-06-20,2052.771766637222
2020-06-21,2038.2295260711005
2020-06-22,2048.1309837197623
2020-06-23,2050.7426979269253
2020-06-24,2022.456799865633
2020-06-25,2018.5121478567241
2020-06-26,1989.1240872212152
2020-06-27,1999.826115108189
2020-06-28,2011.4852384103276
2020-06-29,1993.3706445812923
2020-06-30,1972.3540044213792
2020-07-01,1966.1518250620002
2020-07-02,1965.7406699299538
2020-07-03,1959.96115911719
2020-07-04,1927.532785079979
2020-07-05,1910.6252617839718
2020-07-06,1895.941994728116
2020-07-07,1889.2199355342018
2020-07-08,1886.7323083284653
2020-07-09,1896.813469268748
2020-07-10,1894.3163494119926
2020-07-11,1879.7424005323228
2020-07-12,1865.2675313039879
2020-07-13,1861.2932889296499
2020-07-14,1845.6507429084502
2020-07-15,1814.489512958582
2020-07-16,1801.6319372627886
2020-07-17,1789.5666043368399
2020-07-18,1792.2786951380408
2020-07-19,1782.9011372591401
2020-07-20,1776.3940664425904
2020-07-21,1763.4535870890775
2020-07-22,1761.6420775972367
2020-07-23,1760.891050053923
2020-07-24,1733.4426146898293
2020-07-25,1707.1929714535743
2020-07-26,1680.3779424312347
2020-07-27,1669.1735002275095
2020-07-28,1653.693170845619
2020-07-29,1621.4126118565234
2020-07-30,1593.5477192522865
2020-07-31,1568.841563159913
2020-08-01,1555.461163867383
2020-08-02,1541.3883278820847
2020-08-03,1518.1892349460788
2020-08-04,1504.3039419456543
2020-08-05,1485.4322487249988
2020-08-06,1473.3675882773287
2020-08-07,1456.0724050458164
2020-08-08,1455.4566484764407
2020-08-09,1445.7001999595416
2020-08-10,1438.3708935713203
2020-08-11,1417.2744354249771
2020-08-12,1407.982070605126
2020-08-13,1398.343113210249
2020-08-14,1398.3504766228448
2020-08-15,1374.1620242434765
2020-08-16,1352.8242987734482
2020-08-17,1353.202139526713
2020-08-18,1354.7308452055927
2020-08-19,1352.599126936153
2020-08-20,1347.2984696357344
2020-08-21,1332.9066798495212
2020-08-22,1323.820706699336
2020-08-23,1310.5638728957629
2020-08-24,1287.456107306379
2020-08-25,1263.4420850948568
2020-08-26,1252.1611179392191
2020-08-27,1251.8182070854095
2020-08-28,1255.8317008801082
2020-08-29,1241.5959555751797
2020-08-30,1230.924077119708
2020-08-31,1215.5564895184427
2020-09-01,1204.5682189102513
2020-09-02,1201.5664911071187
2020-09-03,1176.3079439232479
2020-09-04,1157.3757447993084
2020-09-05,1141.258582865624
2020-09-06,1129.794858538478
2020-09-07,1116.965722634444
2020-09-08,1109.7998174634552
2020-09-09,1090.526284974105
2020-09-10,1087.170287656089
2020-09-11,1062.6990665999122
2020-09-12,1050.9890469783484
2020-09-13,1031.5348912138404
2020-09-14,1005.7463330147287
2020-09-15,971.1381199964196
2020-09-16,945.4268611181886
2020-09-17,936.2446214446253
2020-09-18,919.0389934712022
2020-09-19,897.5910984164669
2020-09-20,880.9483926133622
2020-09-21,876.2492245166229
2020-09-22,873.4267560011724
2020-09-23,868.5739379625239
2020-09-24,842.9363230904781
2020-09-25,818.0575744275106
2020-09-26,795.6166127357845
2020-09-27,777.9823572181964
2020-09-28,754.1173085147157
2020-09-29,733.6322254258447
2020-09-30,721.5942397925288
2020-10-01,718.2590768936452
2020-10-02,717.693632011867
2020-10-03,719.2461920403161
2020-10-04,712.8185203704021
2020-10-05,702.7557736383494
2020-10-06,700.456018948452
2020-10-07,697.9727480242329
2020-10-08,704.6823860684744
2020-10-09,704.1694135932069
2020-10-10,695.5491625662181
2020-10-11,685.784205286925
2020-10-12,672.5245121158473
2020-10-13,668.6776752722798
2020-10-14,648.9061479150764
2020-10-15,628.8570352978903
2020-10-16,605.693090051886
2020-10-17,592.4987046164318
2020-10-18,587.0249758463007
2020-10-19,559.5071394287572
2020-10-20,538.1314541917365
2020-10-21,520.8812919308185
2020-10-22,509.9398225198332
2020-10-23,508.56823512027654
2020-10-24,502.0478306243465
2020-10-25,496.7158575330141
