data,Casos_Publicacao_MM_atual_PA
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,7.3879866490745
2020-04-21,11.09522038772842
2020-04-22,21.63442688671843
2020-04-23,55.715347076211366
2020-04-24,73.37414657804875
2020-04-25,89.93980360608042
2020-04-26,105.54152670827291
2020-04-27,149.06674334933297
2020-04-28,166.19046145669373
2020-04-29,177.43347047316146
2020-04-30,174.26922811251978
2020-05-01,186.67098657225281
2020-05-02,209.4251461394353
2020-05-03,238.07929552479703
2020-05-04,258.97681756795515
2020-05-05,267.51034435311135
2020-05-06,277.59430501839967
2020-05-07,311.6027442795016
2020-05-08,342.95683166656704
2020-05-09,373.40878328897736
2020-05-10,404.5329814270679
2020-05-11,446.8731350618829
2020-05-12,498.54787548020835
2020-05-13,558.062639838512
2020-05-14,595.6205133338981
2020-05-15,633.3284384510445
2020-05-16,664.9251328279539
2020-05-17,711.3996737985522
2020-05-18,801.4085547767878
2020-05-19,859.6947753244062
2020-05-20,933.8922991856905
2020-05-21,1024.7191410282458
2020-05-22,1129.9752660669164
2020-05-23,1221.150962533307
2020-05-24,1288.2958212130472
2020-05-25,1417.118378777687
2020-05-26,1515.5301897493507
2020-05-27,1616.0362300458437
2020-05-28,1699.271501995775
2020-05-29,1797.7318099685651
2020-05-30,1878.265215604517
2020-05-31,1913.1339251989612
2020-06-01,2033.1992804385598
2020-06-02,2078.919923236875
2020-06-03,2073.9307482014183
2020-06-04,2155.3057983737385
2020-06-05,2194.6298809468485
2020-06-06,2165.9553361227395
2020-06-07,2144.7918985851106
2020-06-08,2184.481525308724
2020-06-09,2177.443501508536
2020-06-10,2197.831295458941
2020-06-11,2186.140939089382
2020-06-12,2201.0436376503358
2020-06-13,2216.932351786688
2020-06-14,2229.2455453465072
2020-06-15,2215.9567140518734
2020-06-16,2216.6229485483454
2020-06-17,2222.4429365894352
2020-06-18,2183.4496314550083
2020-06-19,2146.8228047919947
2020-06-20,2111.18938824963
2020-06-21,2087.4145815913334
2020-06-22,2083.500569445183
2020-06-23,2084.328234498643
2020-06-24,2066.87332456608
2020-06-25,2080.7866623202676
2020-06-26,2094.1203679728496
2020-06-27,2109.482153693041
2020-06-28,2111.698523174526
2020-06-29,2118.686203796017
2020-06-30,2081.2669708062085
2020-07-01,2077.117408583093
2020-07-02,2035.2676285745556
2020-07-03,2033.2369891756807
2020-07-04,1974.5974188219793
2020-07-05,1934.8859307659516
2020-07-06,1912.1388733782655
2020-07-07,1893.0726959880612
2020-07-08,1882.5069213038523
2020-07-09,1872.577902790027
2020-07-10,1843.2332488816496
2020-07-11,1814.782406326903
2020-07-12,1810.2832850045581
2020-07-13,1803.9387763635445
2020-07-14,1794.071161619503
2020-07-15,1764.3516739409367
2020-07-16,1745.2160127379027
2020-07-17,1743.7391954616023
2020-07-18,1731.160232130943
2020-07-19,1706.1380092253069
2020-07-20,1731.321517893929
2020-07-21,1730.2666872349416
2020-07-22,1735.8522619138955
2020-07-23,1731.2996795847966
2020-07-24,1697.162479594523
2020-07-25,1648.733160890796
2020-07-26,1634.642476700147
2020-07-27,1643.9090259776744
2020-07-28,1618.4321235650323
2020-07-29,1590.250547592195
2020-07-30,1558.2400110042586
2020-07-31,1538.6540949985945
2020-08-01,1520.8104076911377
2020-08-02,1497.9447171121394
2020-08-03,1482.8006473762898
2020-08-04,1476.8770551474743
2020-08-05,1450.173821754295
2020-08-06,1425.604950363445
2020-08-07,1394.6175929296141
2020-08-08,1358.0211385521359
2020-08-09,1334.9307094276517
2020-08-10,1347.1989024214465
2020-08-11,1339.4641394296925
2020-08-12,1349.7882359702671
2020-08-13,1367.4310651137316
2020-08-14,1406.54060839893
2020-08-15,1409.1103138657604
2020-08-16,1412.0906079828394
2020-08-17,1415.1078626498854
2020-08-18,1405.4016948203575
2020-08-19,1383.827663461049
2020-08-20,1375.5751591689548
2020-08-21,1329.7426120174066
2020-08-22,1320.7524136602717
2020-08-23,1307.4002603518843
2020-08-24,1307.733996764278
2020-08-25,1294.8106339290034
2020-08-26,1285.8445215348265
2020-08-27,1305.774601918811
2020-08-28,1324.5975176846546
2020-08-29,1308.0505513480773
2020-08-30,1292.5145235412165
2020-08-31,1294.331281991247
2020-09-01,1283.495401862421
2020-09-02,1274.409094424257
2020-09-03,1231.6269309740178
2020-09-04,1192.7777950667069
2020-09-05,1177.509915781299
2020-09-06,1179.7237904047574
2020-09-07,1156.9679331531934
2020-09-08,1113.6107260579618
2020-09-09,1085.375852134649
2020-09-10,1058.611387260164
2020-09-11,1042.635587498255
2020-09-12,1023.7282013485815
2020-09-13,1015.8155991924119
2020-09-14,975.9258874635093
2020-09-15,942.8102095690157
2020-09-16,918.5398266006736
2020-09-17,908.026495562769
2020-09-18,892.2771217342201
2020-09-19,870.3177315191512
2020-09-20,851.9888586163304
2020-09-21,900.0977717748747
2020-09-22,905.3023709198919
2020-09-23,885.2222398557449
2020-09-24,852.9262474267568
2020-09-25,819.7660964560346
2020-09-26,780.1297637878098
2020-09-27,758.3693609396047
2020-09-28,730.6333909694171
2020-09-29,716.8418836488643
2020-09-30,716.547485710105
2020-10-01,732.1444841570321
2020-10-02,741.9266293657969
2020-10-03,761.1047954928868
2020-10-04,762.2913480596543
2020-10-05,776.3596009337945
2020-10-06,774.6242004241996
2020-10-07,767.4421049826636
2020-10-08,748.4107982468452
2020-10-09,728.9880498578988
2020-10-10,697.5213197801054
2020-10-11,677.981135943447
2020-10-12,668.6806840606802
2020-10-13,652.4818374164628
2020-10-14,632.4861943535441
2020-10-15,606.8524155963241
2020-10-16,573.5694483215963
2020-10-17,551.2363358813269
2020-10-18,541.1420923912272
2020-10-19,528.961529560983
2020-10-20,513.2679149630907
2020-10-21,499.57755378155156
2020-10-22,503.13396934485945
2020-10-23,511.0764389776885
2020-10-24,517.1598632654559
2020-10-25,516.8342827697733
2020-10-26,555.1749726452455
2020-10-27,571.8301020683518
2020-10-28,585.0627199078649
2020-10-29,606.6348162502261
2020-10-30,628.6018588262835
2020-10-31,653.7519541425302
2020-11-01,680.7526656848039
2020-11-02,710.2302660785349
2020-11-03,717.8199079009706
2020-11-04,717.6593369117295
2020-11-05,721.1375653040793
2020-11-06,699.8237364810984
2020-11-07,667.2841437235152
2020-11-08,631.4549236963685
2020-11-09,596.116697053381
2020-11-10,579.868697046672
2020-11-11,571.9957469339178
2020-11-12,564.4568435402327
2020-11-13,563.8426305490756
2020-11-14,569.6368313086623
2020-11-15,564.7740228861892
2020-11-16,599.03556064741
2020-11-17,608.4905067649519
2020-11-18,605.3242191257898
2020-11-19,614.9472040093593
2020-11-20,608.6686775943768
2020-11-21,607.5185370034077
2020-11-22,605.343270431009
2020-11-23,605.1334837626729
2020-11-24,595.2707959299032
2020-11-25,582.0912763623234
2020-11-26,577.1819184179453
2020-11-27,582.7747810569598
2020-11-28,591.4394457527541
2020-11-29,592.4444930905329
2020-11-30,608.3217811452787
2020-12-01,613.5771460943648
2020-12-02,619.9397230777018
2020-12-03,609.715820413021
2020-12-04,610.2198773053565
2020-12-05,610.345840968832
2020-12-06,607.0209112222656
2020-12-07,629.4339319119415
2020-12-08,626.9652848295916
2020-12-09,640.4144733119665
2020-12-10,649.2877274251349
2020-12-11,657.3227490562925
2020-12-12,661.1755234929617
2020-12-13,677.1950332293105
2020-12-14,696.5735453434207
2020-12-15,689.3883040161917
2020-12-16,691.9385407885086
2020-12-17,704.7920967637658
2020-12-18,711.0646117864652
2020-12-19,714.5184861837796
2020-12-20,713.3840765007851
2020-12-21,730.6015665718423
2020-12-22,750.4987371198721
2020-12-23,759.9145142050153
2020-12-24,765.3178906283306
2020-12-25,776.0480547192763
2020-12-26,775.9995071906443
2020-12-27,779.9391344327391
2020-12-28,786.7823141084402
2020-12-29,784.8873295326069
2020-12-30,785.1453907159664
2020-12-31,765.055387265158
2021-01-01,725.6797890631603
2021-01-02,713.2563611588052
2021-01-03,711.7854448809186
2021-01-04,733.3734349869151
2021-01-05,731.3014510327397
2021-01-06,726.6928050583662
2021-01-07,717.711220691833
2021-01-08,846.054655106873
2021-01-09,842.6171872587942
2021-01-10,822.7364033696938
2021-01-11,862.3060855748985
2021-01-12,893.1983671137197
2021-01-13,922.9275898127772
2021-01-14,971.363865901058
2021-01-15,1047.258940970741
2021-01-16,1110.3872578494825
2021-01-17,1152.5910619950816
2021-01-18,1178.362926306432
2021-01-19,1189.9997845864011
2021-01-20,1180.9320447394252
2021-01-21,1196.9930637551674
2021-01-22,1212.078460907886
2021-01-23,1192.3573186670958
2021-01-24,1159.4713545231057
2021-01-25,1159.5764006666798
2021-01-26,1157.1114863843086
2021-01-27,1182.5301037822724
2021-01-28,1217.065268207527
2021-01-29,1223.7506672769628
2021-01-30,1236.6482167364682
2021-01-31,1255.7619414828926
2021-02-01,1244.8880401098654
2021-02-02,1265.403458362582
2021-02-03,1284.1387882653098
2021-02-04,1298.375125222749
2021-02-05,1294.1033361559294
2021-02-06,1298.6390410240094
2021-02-07,1282.379204467166
2021-02-08,1286.810726748565
2021-02-09,1292.1738891359382
