data,Casos_DataSintoma_MM_atual_PA
2020-04-11,566.5604339378223
2020-04-12,569.6910363711506
2020-04-13,622.0556832787842
2020-04-14,713.2723763690185
2020-04-15,748.1534787627238
2020-04-16,793.0675443110634
2020-04-17,876.6265542690704
2020-04-18,943.2780505034174
2020-04-19,979.8053004284852
2020-04-20,1061.3565196943898
2020-04-21,1164.0988522605433
2020-04-22,1275.3862584096296
2020-04-23,1360.855208799411
2020-04-24,1456.8226655636909
2020-04-25,1521.463000602722
2020-04-26,1550.288607151597
2020-04-27,1625.5140405761438
2020-04-28,1712.3078406485631
2020-04-29,1801.5890740730786
2020-04-30,1859.9609203875343
2020-05-01,1938.9453438217986
2020-05-02,1995.1251759995653
2020-05-03,2009.8122721654474
2020-05-04,2015.9596223056196
2020-05-05,2045.9360315341848
2020-05-06,2125.6622972723867
2020-05-07,2179.816689159668
2020-05-08,2270.9298689553525
2020-05-09,2326.8017537449014
2020-05-10,2315.071061064499
2020-05-11,2379.558693726132
2020-05-12,2407.661082611964
2020-05-13,2482.032330505092
2020-05-14,2543.9742289745127
2020-05-15,2521.1363526156374
2020-05-16,2524.036652712512
2020-05-17,2478.7099873993056
2020-05-18,2523.6114310452726
2020-05-19,2491.6977063887407
2020-05-20,2500.3506119385943
2020-05-21,2537.7254928106468
2020-05-22,2505.9828240983993
2020-05-23,2477.3542549776553
2020-05-24,2387.312297957866
2020-05-25,2385.7080170345916
2020-05-26,2309.2578100703245
2020-05-27,2341.4643496072326
2020-05-28,2409.620765877051
2020-05-29,2344.119584490405
2020-05-30,2315.879278218177
2020-05-31,2276.4792076405447
2020-06-01,2282.69817434923
2020-06-02,2208.6562763774004
2020-06-03,2202.2919455882234
2020-06-04,2210.290915126706
2020-06-05,2132.5820920977176
2020-06-06,2069.653839919828
2020-06-07,2030.4024451353744
2020-06-08,2010.2738634736104
2020-06-09,1949.542592430329
2020-06-10,1967.4171046819536
2020-06-11,1978.9326399809968
2020-06-12,1934.8918782353803
2020-06-13,1886.6537266933005
2020-06-14,1848.8008613967434
2020-06-15,1825.2085678834894
2020-06-16,1769.0405560271606
2020-06-17,1751.0142970548723
2020-06-18,1730.2910760591885
2020-06-19,1685.1554115022896
2020-06-20,1651.3014848499768
2020-06-21,1602.103978567636
2020-06-22,1624.2807227659355
2020-06-23,1642.6276071261445
2020-06-24,1621.4089377923615
2020-06-25,1620.9955873130768
2020-06-26,1583.7298041986735
2020-06-27,1589.8891517413647
2020-06-28,1604.5192460138776
2020-06-29,1622.5861253643338
2020-06-30,1627.1382133585703
2020-07-01,1586.2872950687922
2020-07-02,1561.5041147571644
2020-07-03,1502.2825471097099
2020-07-04,1444.915366417663
2020-07-05,1400.5339308475598
2020-07-06,1421.7946369672686
2020-07-07,1389.8434064854168
2020-07-08,1371.4009074435542
2020-07-09,1372.6558511940743
2020-07-10,1336.6618341764954
2020-07-11,1341.0197722590126
2020-07-12,1326.622289509661
2020-07-13,1362.7079504635512
2020-07-14,1372.3456682294343
2020-07-15,1352.8069829615647
2020-07-16,1342.377088255864
2020-07-17,1318.1798284603713
2020-07-18,1295.938127081392
2020-07-19,1283.798673997358
2020-07-20,1300.7297832494341
2020-07-21,1305.7389190994106
2020-07-22,1296.7361762066223
2020-07-23,1291.7016260536184
2020-07-24,1239.7042051487267
2020-07-25,1212.8387567051611
2020-07-26,1169.2406699678975
2020-07-27,1168.9562868461164
2020-07-28,1170.7296046759316
2020-07-29,1129.884043690709
2020-07-30,1112.9154181086335
2020-07-31,1060.572806044487
2020-08-01,1060.5189717035323
2020-08-02,1011.0798022396809
2020-08-03,1017.2403460593172
2020-08-04,997.3089256374396
2020-08-05,981.8576221503563
2020-08-06,981.2009238938311
2020-08-07,937.9668933679126
2020-08-08,936.8172492797332
2020-08-09,891.5154863907837
2020-08-10,914.4077292902025
2020-08-11,915.4497432400088
2020-08-12,922.5716449558107
2020-08-13,959.6825639235877
2020-08-14,942.5933686395514
2020-08-15,948.4370082671222
2020-08-16,903.3100528719191
2020-08-17,922.7548524245015
2020-08-18,908.2440885530111
2020-08-19,872.3132162597364
2020-08-20,884.728696398972
2020-08-21,830.9411402697309
2020-08-22,826.930771588397
2020-08-23,794.1394058312178
2020-08-24,802.0889233183943
2020-08-25,796.0537172400345
2020-08-26,773.4525091706957
2020-08-27,781.8367578162008
2020-08-28,759.7438268731427
2020-08-29,759.9177698080578
2020-08-30,707.6864645712149
2020-08-31,708.2868605151161
2020-09-01,713.1009105028638
2020-09-02,687.4105122226595
2020-09-03,666.375897362393
2020-09-04,620.4750826776212
2020-09-05,616.3388925889833
2020-09-06,568.6453599366731
2020-09-07,549.904138421357
2020-09-08,538.6075618559464
2020-09-09,505.09338938957825
2020-09-10,511.8729800346858
2020-09-11,487.74492602006836
2020-09-12,489.8975796847279
2020-09-13,473.95958703833605
2020-09-14,456.26251541488193
2020-09-15,458.7796553770017
