data,Casos_DataSintoma_MM_atual_PA
2020-04-11,586.6791291203679
2020-04-12,582.8454259112327
2020-04-13,642.9637724225832
2020-04-14,570.4073648709831
2020-04-15,626.00752833956
2020-04-16,669.3392680929927
2020-04-17,718.9937157019302
2020-04-18,799.0906635312041
2020-04-19,889.6750178583546
2020-04-20,1014.4892932394986
2020-04-21,909.177787837707
2020-04-22,1042.8766925983737
2020-04-23,1153.094116625428
2020-04-24,1299.2374056369358
2020-04-25,1322.0234753540892
2020-04-26,1398.3096163215987
2020-04-27,1453.110140308655
2020-04-28,1462.164618277315
2020-04-29,1544.2676300104717
2020-04-30,1578.0080089983358
2020-05-01,1740.4273776504901
2020-05-02,1704.8155171958142
2020-05-03,1716.9220509231136
2020-05-04,1701.4271740239565
2020-05-05,1655.567724969649
2020-05-06,1707.711801370963
2020-05-07,1733.7401660480066
2020-05-08,1913.6866197476293
2020-05-09,1931.352998235143
2020-05-10,1900.1959361421948
2020-05-11,1978.178048487273
2020-05-12,1972.8511220851694
2020-05-13,2052.126450345562
2020-05-14,2072.52349176279
2020-05-15,2186.8798981622135
2020-05-16,2219.40563205755
2020-05-17,2151.7802365819934
2020-05-18,2259.6198363124427
2020-05-19,2221.4224463229557
2020-05-20,2209.600970544084
2020-05-21,2204.9180262683367
2020-05-22,2278.6192324155463
2020-05-23,2223.395076679662
2020-05-24,2136.445652961806
2020-05-25,2139.3706636426405
2020-05-26,2055.697006324841
2020-05-27,2058.5320885273986
2020-05-28,2100.876614429367
2020-05-29,2081.0277955925103
2020-05-30,2061.4311307071243
2020-05-31,2002.7127479426345
2020-06-01,2012.6885458826457
2020-06-02,2011.9550249161468
2020-06-03,1947.6020175508168
2020-06-04,1968.1787502183029
2020-06-05,1962.9651473602394
2020-06-06,1960.4176851550399
2020-06-07,1925.1908629102259
2020-06-08,1917.4016791994873
2020-06-09,1910.8671696680767
2020-06-10,1849.53580475071
2020-06-11,1899.474915589063
2020-06-12,1926.1766497569613
2020-06-13,1924.7418823088153
2020-06-14,1905.9074370371802
2020-06-15,1905.9682913421414
2020-06-16,1881.2427942543839
2020-06-17,1841.7991148403141
2020-06-18,1853.552441948677
2020-06-19,1870.1615342828768
2020-06-20,1863.177255522819
2020-06-21,1812.518736159912
2020-06-22,1804.3255167008367
2020-06-23,1786.4667569923386
2020-06-24,1740.05553291585
2020-06-25,1757.9237411681963
2020-06-26,1773.287069040751
2020-06-27,1780.1803137046493
2020-06-28,1724.5134472570517
2020-06-29,1719.8186004703493
2020-06-30,1683.01784671135
2020-07-01,1610.052182386171
2020-07-02,1612.6910403277393
2020-07-03,1661.120426449835
2020-07-04,1659.4492082282134
2020-07-05,1606.2458980973104
2020-07-06,1583.3630753633806
2020-07-07,1540.0388854090384
2020-07-08,1515.3302659974972
2020-07-09,1509.4403854185466
2020-07-10,1534.8591091192593
2020-07-11,1537.6682433032388
2020-07-12,1478.9400130996567
2020-07-13,1474.6570645955298
2020-07-14,1446.852660692667
2020-07-15,1413.0637515505298
2020-07-16,1416.3863726657264
2020-07-17,1460.3084563221164
2020-07-18,1488.6383410951348
2020-07-19,1426.825534786533
2020-07-20,1416.150306108138
2020-07-21,1386.5492542628126
2020-07-22,1347.9766123341788
2020-07-23,1339.9844369466866
2020-07-24,1345.1771191698765
2020-07-25,1336.5859231841018
2020-07-26,1272.0141528196375
2020-07-27,1254.4665750192237
