data,Casos_DataSintoma_MM_atual_PA
2020-04-11,916.6582971181926
2020-04-12,972.5387400172806
2020-04-13,1034.943235238971
2020-04-14,1067.2645775414899
2020-04-15,1050.9268649194269
2020-04-16,1092.009817273005
2020-04-17,1196.3614518149197
2020-04-18,1243.8457449175794
2020-04-19,1241.8080080523512
2020-04-20,1339.0667473195795
2020-04-21,1402.9920227785958
2020-04-22,1538.0286823532876
2020-04-23,1623.3447336663387
2020-04-24,1572.7327820411704
2020-04-25,1657.3758520083807
2020-04-26,1667.9734940043977
2020-04-27,1889.546402602234
2020-04-28,1920.0063072278017
2020-04-29,1846.5230124908555
2020-04-30,1894.6133603317335
2020-05-01,1936.208748610449
2020-05-02,1999.2912043347076
2020-05-03,2028.8209236469413
2020-05-04,1971.6073703573832
2020-05-05,2057.853107838948
2020-05-06,2056.788610955985
2020-05-07,2151.6248411791926
2020-05-08,2280.639269459187
2020-05-09,2308.0590362640187
2020-05-10,2344.5158815757068
2020-05-11,2415.9070351921973
2020-05-12,2552.312608325897
2020-05-13,2558.758634827681
2020-05-14,2547.532966397393
2020-05-15,2438.23923511577
2020-05-16,2454.2858045529456
2020-05-17,2641.9591429988914
2020-05-18,2700.4176874753102
2020-05-19,2582.1765084896083
2020-05-20,2543.578476646874
2020-05-21,2520.342602332928
2020-05-22,2626.1556149656376
2020-05-23,2796.136201331335
2020-05-24,2379.765660820202
2020-05-25,2441.1956118185703
2020-05-26,2385.2804036936423
2020-05-27,2604.5619271618725
2020-05-28,2608.6286888936293
2020-05-29,2437.936701211479
2020-05-30,2555.635803593982
2020-05-31,2321.3323390159503
2020-06-01,2474.6192805271116
2020-06-02,2309.841359306641
2020-06-03,2098.751509446894
2020-06-04,2100.529515741579
2020-06-05,1933.5698736767724
2020-06-06,2154.7520689282996
2020-06-07,1957.1408546183004
2020-06-08,2088.8977510644654
2020-06-09,2021.416483642665
2020-06-10,2133.725357209831
2020-06-11,1989.0756506741632
2020-06-12,2005.9069331515414
2020-06-13,2039.4867426243404
2020-06-14,1877.0185469692412
2020-06-15,1740.7796666870456
2020-06-16,1602.496046673318
2020-06-17,1785.0744431832973
2020-06-18,1790.7715834078228
2020-06-19,1703.316778414191
2020-06-20,1797.1736188154212
2020-06-21,1678.794342826841
2020-06-22,1854.7419183172506
2020-06-23,1846.0718565470368
2020-06-24,1749.532144858546
2020-06-25,1728.3185051415303
2020-06-26,1579.731604706218
2020-06-27,1781.9258289080512
2020-06-28,1560.529508771499
2020-06-29,1498.1989180848293
2020-06-30,1349.0772262933363
2020-07-01,1372.0925500577441
2020-07-02,1419.1829146062532
2020-07-03,1410.9470792703664
