data,Casos_DataSintoma_MM_atual_PA
2020-04-11,658.5453946302872
2020-04-12,721.1145039424187
2020-04-13,753.4519385956669
2020-04-14,803.3249267298116
2020-04-15,824.0559338576211
2020-04-16,848.593938915632
2020-04-17,959.43894243221
2020-04-18,1052.1991157364007
2020-04-19,1111.282557707672
2020-04-20,1183.5547943300824
2020-04-21,1286.217087842232
2020-04-22,1493.5703757106794
2020-04-23,1675.4506792811978
2020-04-24,1733.5527576028335
2020-04-25,1815.7484621361566
2020-04-26,1858.931549473646
2020-04-27,2086.6226464139936
2020-04-28,2229.6421047452463
2020-04-29,2185.725178889072
2020-04-30,2125.504196915664
2020-05-01,2095.0131018340185
2020-05-02,2133.260927301678
2020-05-03,2182.2264470646896
2020-05-04,2128.0282457570947
2020-05-05,2138.551631524075
2020-05-06,2138.061688272761
2020-05-07,2215.4095246460606
2020-05-08,2417.5880995094235
2020-05-09,2523.2862740600967
2020-05-10,2576.624800159643
2020-05-11,2632.6869360723067
2020-05-12,2753.736718258033
2020-05-13,2832.658169677531
2020-05-14,2794.9375187684886
2020-05-15,2614.309513549111
2020-05-16,2450.901131277605
2020-05-17,2574.559469303716
2020-05-18,2742.9133745714616
2020-05-19,2676.91281064093
2020-05-20,2605.9614994793114
2020-05-21,2546.958260851427
2020-05-22,2651.6716954634257
2020-05-23,2728.214009821459
2020-05-24,2566.154507836483
2020-05-25,2528.0737818597268
2020-05-26,2439.847236388936
2020-05-27,2599.4941360994267
2020-05-28,2710.5398643315048
2020-05-29,2611.194137757345
2020-05-30,2522.845325467508
2020-05-31,2467.712986717121
2020-06-01,2452.427884631298
2020-06-02,2400.00299544742
2020-06-03,2186.374123845119
2020-06-04,2033.6513070938397
2020-06-05,1985.3212350431127
2020-06-06,2030.3573077255842
2020-06-07,2056.6983196809197
2020-06-08,2057.9676231476724
2020-06-09,2053.700908792298
2020-06-10,2023.822689367345
2020-06-11,2005.637320194811
2020-06-12,1996.7445654368537
2020-06-13,1969.372718059229
2020-06-14,1960.6870792520986
2020-06-15,1855.850658006451
2020-06-16,1728.9653351015256
2020-06-17,1745.8680206131037
2020-06-18,1789.2176958075293
2020-06-19,1791.7980985902277
2020-06-20,1766.8978517643445
2020-06-21,1746.8134466329002
2020-06-22,1796.9952053393974
2020-06-23,1821.3422751474425
2020-06-24,1732.7731419467284
2020-06-25,1662.517317944966
2020-06-26,1613.277530965362
2020-06-27,1648.6228228223556
2020-06-28,1670.0445934650163
2020-06-29,1595.60615970086
2020-06-30,1517.8672306709166
2020-07-01,1468.2914086486512
2020-07-02,1472.4627898207286
2020-07-03,1482.927093168799
2020-07-04,1417.9292553369032
2020-07-05,1387.2944601688016
2020-07-06,1363.2657114341716
2020-07-07,1355.0037668904804
2020-07-08,1433.7275618383167
2020-07-09,1469.0931772022293
2020-07-10,1491.7171085851164
2020-07-11,1495.363843289837
2020-07-12,1499.2257762171096
2020-07-13,1516.7279514101333
2020-07-14,1494.4816333685842
2020-07-15,1406.1790212037438
2020-07-16,1361.8373094979197
